time,open,high,low,close,volume,turnover,date,class,norm_revenue
2023-07-09 20:00:00,30248.42,30249.99,30121.07,30197.96,102.644361,3099878.36570619,2023-07-09,0,-6.2400962295742755
2023-07-09 21:00:00,30197.96,30218.91,30142.71,30148.0,124.967518,3772478.1171205,2023-07-09,0,-8.62671016220506
2023-07-09 22:00:00,30148.0,30203.17,30068.33,30171.27,310.912049,9368345.34659533,2023-07-09,0,-7.515090742422825
2023-07-09 23:00:00,30171.27,30184.0,30132.1,30164.01,102.770507,3099571.60920035,2023-07-09,0,-7.861904536476163
2023-07-10 00:00:00,30164.01,30229.16,29952.39,30094.0,646.399871,19430892.81014042,2023-07-10,0,-11.206316894832451
2023-07-10 01:00:00,30094.0,30140.0,30044.29,30049.92,150.446721,4525676.61529205,2023-07-10,1,0.0
2023-07-10 02:00:00,30049.92,30229.6,30047.93,30203.16,102.652987,3095113.39608668,2023-07-10,0,4.478745431838002
2023-07-10 03:00:00,30203.16,30244.9,30158.31,30160.0,79.793502,2409596.88363772,2023-07-10,0,2.4020087232204244
2023-07-10 04:00:00,30160.0,30161.48,30121.5,30124.0,88.99076,2682221.91485668,2023-07-10,0,0.6697908939749865
2023-07-10 05:00:00,30124.0,30141.17,30085.41,30085.42,102.61939,3090475.02906169,2023-07-10,1,-0.0
2023-07-10 06:00:00,30085.42,30121.99,30057.01,30094.0,153.222421,4609998.37340597,2023-07-10,0,1.589700473649827
2023-07-10 07:00:00,30094.0,30142.0,30085.17,30113.16,139.39683,4197514.36329781,2023-07-10,-1,1.0
2023-07-10 08:00:00,30113.16,30115.99,30000.0,30098.1,175.658338,5283558.06021606,2023-07-10,1,0.0
2023-07-10 09:00:00,30098.1,30198.4,30041.17,30142.0,253.486513,7635535.03454659,2023-07-10,0,-0.1909383593049767
2023-07-10 10:00:00,30142.0,30232.5,30142.0,30185.42,110.249586,3329088.25986243,2023-07-10,0,0.3159283684054701
2023-07-10 11:00:00,30185.42,30253.16,30183.33,30244.02,131.645796,3976974.71193007,2023-07-10,-1,1.0
2023-07-10 12:00:00,30244.02,30289.52,30151.68,30160.0,197.663046,5975362.82674311,2023-07-10,1,0.0
2023-07-10 13:00:00,30160.0,30333.95,30159.99,30209.22,278.659194,8427790.48579956,2023-07-10,0,-0.0835798110724149
